Books_name,Books_Author,Books_Date,Books_Kindle,Books_Hardcover,Books_Pages,Books_Publisher,Books_Language,Books_Rating,Books_Reviews,Books_Dimensions
All the Light We Cannot See: A Novel,Anthony Doerr,"Apr 4, 2017",$11.42 ,$12.23 ,,"Scribner; Reprint edition (April 4, 2017)",English,4.6 out of 5 stars,"28,256 customer reviews",)
The Fall of Gondolin,J.R.R. Tolkien,"Aug 30, 2018",,$19.49 ,304 pages,"Houghton Mifflin Harcourt; First Edition edition (August 30, 2018)",English,4.2 out of 5 stars,55 customer reviews,)
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"Sep 2, 2014",$13.99 ,$11.43 ,320 pages,"Houghton Mifflin Harcourt; 1st Edition edition (September 2, 2014)",English,4.6 out of 5 stars,"3,838 customer reviews",)
The Crucible: A Play in Four Acts,Arthur Miller,"Mar 25, 2003",$19.61 ,$4.99 ,,"Penguin Classics (March 25, 2003)",English,4.2 out of 5 stars,613 customer reviews,5.1 x 0.5 x 7.8 inches
The Travelling Cat Chronicles,Hiro Arikawa,"Oct 23, 2018",,$13.52 ,288 pages,"Berkley; Advance Copy edition (October 23, 2018)",English,4.5 out of 5 stars,27 customer reviews,)
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,"Oct 29, 2013",$35.78 ,$29.98 ,,"Bantam; Media Tie In edition (October 29, 2013)",English,4.7 out of 5 stars,"10,086 customer reviews",345535529
There There: A novel,Tommy Orange,"Jun 5, 2018",$17.64 ,$17.64 ,304 pages,"Knopf; First Edition edition (June 5, 2018)",English,4.1 out of 5 stars,281 customer reviews,5.8 x 1.1 x 8.5 inches
The Gruffalo,Julia Donaldson,"Mar 2, 2006",,$5.99 ,,"Puffin Books; Reprint edition (March 2, 2006)",English,4.9 out of 5 stars,"1,572 customer reviews",9.78E+12
The Things They Carried,Tim O'Brien,"Oct 13, 2009",$19.27 ,$8.55 ,,Mariner Books (2009),English,4.4 out of 5 stars,"2,653 customer reviews",5.3 x 0.6 x 8 inches
Fantastic Beasts and Where to Find Them,$ 26 19,,,$23.64 ,160 pages,"Arthur A. Levine Books; Reprint edition (November 7, 2017)",English,4.6 out of 5 stars,230 customer reviews,978-1338216790
Harry Potter: A History of Magic (American Edition),$ 27 98,,,$27.98 ,272 pages,"Arthur A. Levine Books (October 9, 2018)",English,4.5 out of 5 stars,62 customer reviews,978-1338311501
Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay (Harry Potter),$ 16 50,,$13.22 ,$16.50 ,304 pages,"Arthur A. Levine Books (November 16, 2018)",English,,,6 x 1.1 x 8.6 inches
Juror #3,James Patterson,"Sep 10, 2018",,$14.89 ,352 pages,"Little, Brown and Company; First Edition edition (September 10, 2018)",English,4.1 out of 5 stars,295 customer reviews,)
I hope this reaches her in time,r.h. Sin,"Nov 19, 2017",$0.97 ,$6.30 ,,"CreateSpace Independent Publishing Platform (November 19, 2017)",English,4.5 out of 5 stars,461 customer reviews,)
Sold on a Monday: A Novel,Kristina McMorris,"Aug 28, 2018",,$10.43 ,,"Sourcebooks Landmark (August 28, 2018)",English,4.3 out of 5 stars,269 customer reviews,5.5 x 0.9 x 8.2 inches
"1,000 Books to Read Before You Die: A Life-Changing List",,"Oct 2, 2018",,$21.68 ,960 pages,"Workman Publishing Company (October 2, 2018)",English,4.0 out of 5 stars,27 customer reviews,)
"Of Blood and Bone: Chronicles of The One, Book 2",Nora Roberts,"Dec 4, 2018",,$20.29 ,464 pages,"St. Martin's Press (December 4, 2018)",English,,,6.1 x 9.2 inches
Beartown: A Novel,Fredrik Backman,"Feb 6, 2018",$14.19 ,$11.99 ,,"Washington Square Press; Reprint edition (February 6, 2018)",English,4.5 out of 5 stars,"2,283 customer reviews",)
The Great American Read: The Book of Books: Explore America's 100 Best-Loved Novels,,"Aug 21, 2018",$19.49 ,$19.49 ,288 pages,"Black Dog & Leventhal; First Edition, First Printing edition (August 21, 2018)",English,4.7 out of 5 stars,18 customer reviews,8.4 x 1 x 10.5 inches
The Noel Stranger (The Noel Collection),Richard Paul Evans,"Nov 6, 2018",$13.51 ,$13.51 ,352 pages,"Simon & Schuster (November 6, 2018)",English,,,5 x 1 x 7 inches
Silly Jokes for Silly Kids. Children's joke book age 5-12,Silly Willy,"Nov 24, 2016",,$5.99 ,,"Willy, Silly (November 24, 2016)",English,4.6 out of 5 stars,281 customer reviews,978-1540619396
Thomas Kinkade Studios: Disney Dreams Collection 2019 Wall Calendar,Thomas Kinkade,"Jun 5, 2018",$9.94 ,$9.94 ,,"Andrews McMeel Publishing (June 5, 2018)",English,4.9 out of 5 stars,29 customer reviews,)
War of the Wolf: A Novel (Saxon Tales),Bernard Cornwell,"Oct 2, 2018",$18.89 ,$18.89 ,352 pages,"Harper (October 2, 2018)",English,4.4 out of 5 stars,87 customer reviews,62563173
Mere Christianity,C. S. Lewis,"Apr 21, 2015",,$8.41 ,,"HarperOne; Revised & Enlarged edition (April 21, 2015)",English,4.7 out of 5 stars,"3,412 customer reviews",5.3 x 0.6 x 8 inches
Milkman: A Novel,Anna Burns,"Dec 11, 2018",$8.38 ,$12.75 ,,"Graywolf Press; Reprint edition (December 11, 2018)",English,3.8 out of 5 stars,13 customer reviews,)
Between the World and Me,Ta-Nehisi Coates,"Jul 14, 2015",$13.59 ,$13.59 ,176 pages,"Spiegel & Grau; 1 edition (July 14, 2015)",English,4.6 out of 5 stars,"3,943 customer reviews",5.1 x 0.8 x 7.5 inches
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,"May 5, 2009",,$9.78 ,,"Dial Press (May 5, 2009)",English,4.7 out of 5 stars,"4,739 customer reviews",5.2 x 0.7 x 8 inches
An Absolutely Remarkable Thing: A Novel,Hank Green,"Sep 25, 2018",$15.60 ,$12.99 ,352 pages,"Dutton; 1st Edition edition (September 25, 2018)",English,4.5 out of 5 stars,154 customer reviews,)
Brave New World,Aldous Huxley,"Oct 17, 2006",$13.55 ,$8.99 ,,"Harper Perennial; Reprint edition (October 18, 2006)",English,4.2 out of 5 stars,"2,841 customer reviews",)
Lilac Girls: A Novel,Martha Hall Kelly,"Feb 28, 2017",$16.96 ,$10.19 ,,"Ballantine Books; Reprint edition (February 28, 2017)",English,4.6 out of 5 stars,"5,421 customer reviews",)
Their Eyes Were Watching God,Zora Neale Hurston,"May 30, 2006",$18.70 ,$14.52 ,,"Harper Perennial Modern Classics; 1 edition (May 30, 2006)",English,4.5 out of 5 stars,"1,448 customer reviews",)
Blood Communion: A Tale of Prince Lestat (Vampire Chronicles),Anne Rice,"Oct 2, 2018",$16.85 ,$16.85 ,272 pages,"Knopf (October 2, 2018)",English,4.3 out of 5 stars,94 customer reviews,1524732648
Sea of Greed (The NUMA Files),Clive Cussler,"Nov 6, 2018",,$18.90 ,416 pages,"G.P. Putnam's Sons (November 6, 2018)",English,,,6.4 x 1.5 x 9.3 inches
In Cold Blood,Truman Capote,"Feb 1, 1994",$22.50 ,$9.88 ,,"Vintage (February 1, 1994)",English,4.5 out of 5 stars,"1,839 customer reviews",679745580
"Bathed in Prayer: Father Tim's Prayers, Sermons, and Reflections from the Mitford Series",Jan Karon,"Oct 30, 2018",$13.52 ,$13.52 ,240 pages,"G.P. Putnam's Sons (October 30, 2018)",English,4.8 out of 5 stars,8 customer reviews,)
